Map(485) {
  '0x97cD70611075e6eae5d64A9908D6fE2592438C88' => 111400,
  '0x8Cd4CA0AeD6B915B68e75E3D0854a73bB977979C' => 16000,
  '0xc2fF8b2Fb8082c811B310cA1c2D5cB235F3059bB' => 22284,
  '0x8Da2a6295d092efe85A4Dac62F9a6cBC3Ef01b7B' => 19021,
  '0x6FB3071447c444E51F7b282a76f06F811e21D3EC' => 9807,
  '0x25e4723F5859952D807ca1339E010c30E06656af' => 7750,
  '0x7d3a7Ad44bFcFc0962709ECE4c149128717906B8' => 151124,
  '0xb5EbF7fAC6F40583261758A7347E8EaA41935524' => 149600,
  '0x668B6724F80591FC5482Aa628017Ee6338898E52' => 5860,
  '0xB2D5fd7d47f65C2C2Bff2dA608F39E087D60928e' => 0,
  '0x3e1A12a6019ee26418F22B656926fE38F5e58C5f' => 11200,
  '0x489eF5FC27e7BbFa4cfa1C8D5eC197dA3D1BAE54' => 39872,
  '0x76CeBB65B78987A9291A83dc27f010c2603eC3e5' => 3544,
  '0xFB2165f4AbEEd496B4EDd3234C4CC09f1557226e' => 13971,
  '0xe2F3c30B753F71BDBF1258D6e09FD3D2adF549dB' => 130000,
  '0x0Aead38a4f99f8dAe8944d31EB703B6C7CeC4381' => 6862,
  '0x8664CedFBFD62980211ACEfcd4919C72237D801B' => 2025,
  '0x557364BA5DF09db866cB81578D14a91698296f7C' => 50,
  '0x324d9A28403839CDEdf36600Fa735520f18Dca64' => 4675,
  '0x81Fa725f8ceBd030939aB8B649507f733101AE95' => 3889,
  '0x5B9f0Eef7bfBD54ba21cD7409BBdFEf12136421a' => 30032,
  '0xBd4718eDcA87EbbBC9F501938b4a7Bb6dd6F8B86' => 33147,
  '0xB8b7ea41CFA41eE65623C93cC4f9eb68D80bcA13' => 59582,
  '0x56b64647B164cAb358263Ac6BE9b418f64ec0709' => 19235,
  '0xd114fE967B1d6A10E21A89868369C1EeD669A560' => 20244,
  '0xbE5072933fCA2523Ea9b060937c4b784405933dc' => 20,
  '0x62Ec589cc2A82816599A7C6f9d145A62D90C17cB' => 52641,
  '0x2518D25bD229aa6F5EAa344873895528462B8F37' => 119,
  '0xfC5b2D51fD03b13bF440eb9e0c7B1D94b1b77BB9' => 19400,
  '0xE456ff3e321be2675A5aEB56b3623586254C3419' => 3113,
  '0x1F2b6dCff8b9c35EA8b4dAED42A7772eC1014276' => 6703,
  '0x3749Ac4c96c9D92DFF122f7822e2Db9dD4cc7D15' => 20220,
  '0x6a6e0a753C927Cbd77c1cf97820A5AD496B74A16' => 20713,
  '0x90Ed12c423cEE6a0CCECADB1C87482733bE3eF26' => 1128,
  '0x9583Ca25eC7770B1d575D0c4C76B79cE257e6645' => 1537,
  '0x1F1ADCe71f9776cfBFdda7e87500b7c5FFAc4aDe' => 41934,
  '0x4cF5DB7f72766Df7Fa9495F5afb1e0B4a94c3978' => 145803,
  '0x28beb6Fd342F7F41c0eBe086F78e43468c7A25C1' => 38100,
  '0x8Ca60eB7C8D4DE486986335166E1C9f6b3982029' => 20368,
  '0x0D12E38FFA27f2E676d332c5f3903E302d032408' => 1259,
  '0x6Ab26A36E97a4D25E7256162c4E5A633b0E65e34' => 150000,
  '0xf455324F5112F4370d30a36dE2AF8255d61d391C' => 43940,
  '0x2F595C056e785E13579128DF27cAD2968d034BA4' => 12660,
  '0x407f9e8c06371b9F2b2fAA4F98c233253d817308' => 5365,
  '0x5DE853CB6813f9Aefd25635776139d8C0AAaF77A' => 107658,
  '0x4eB68eCF77639E64C9ED0826978940Fec1BE9F3f' => 41166,
  '0xb39D022eDF05C31e1981f4F4D8137dDa9C57CFaE' => 4104,
  '0x2b3CE0006E3d8F7aBadF8b0c3f68aB9cC3BfA49E' => 39416,
  '0xD2970eeCfc0cdCB8e94b1D05fc825fcC43cA1c53' => 3125,
  '0x542aF4Dda22Ae22BAE41ea32FAFcfB6aF00D8ac5' => 150000,
  '0xd48d664965286ddea41e97784d079de981d099B6' => 64700,
  '0x43f9873FCf56B25F605A45B89169213FF0fC9eC3' => 231464,
  '0xfEd242184ba67298d7c0E7c228da4512ABcF5e94' => 52179,
  '0xADb84F68596f9E9ec7b79E15C61c02b7260B118e' => 2659,
  '0xc6Cda6a69DDc8200Da1140546dF8E830F5e7827E' => 2600,
  '0x1B99EAc6E12c0080151A897C36eBba0BC7F9e954' => 40247,
  '0xc4281577011bca3E2464bc43B2E36a64FCB542a1' => 5572,
  '0xF84B9E57628Da8A8167c0f84C266F70Ec0863510' => 25347,
  '0x38B0aA025b0A6A134cd6d940Ce37df6978BbA6De' => 419,
  '0xefA168D4231b1eD0711260360647DB6281c1EbBb' => 1621,
  '0xdc4B4C0EC6Bdb30Bf7262D341037103750Ed7Eb5' => 200,
  '0xA44dd0CF1de1C461fDE0B7B92C374789B59784C9' => 63930,
  '0x4326990033eCd87A5444383Cf8c715E696301910' => 150000,
  '0xF6ba4BfdD94C87224C0d091318EcF1b89b83724d' => 209,
  '0x12Fd147E466c6B14270E021C1FF0837149B8b127' => 209,
  '0xC846b4532249Ba200a2f40b011aA8A770266baC2' => 29322,
  '0x811df83148fA178c1Fa9f80B9F07e1DdA5a9c191' => 4130,
  '0xb43BbA0aFf0c5E633286f29839fF40061a61D846' => 209,
  '0x73018f39C3B9652601EA12BD7F42f3F921198C4A' => 20023,
  '0x949F9848008EAF9B7BF09276852EcF13C8C27f47' => 209,
  '0xd164984268bC6e81Ce9a5109C955b96E4edBEE89' => 2100,
  '0xCcEbE8104A3aa1a440461f5F4f6c38FBdFB30802' => 17000,
  '0x18A428CE0c31584a21CF8ceFDb8849d8013E1994' => 2812,
  '0xFDd4186383fafd6bD41d0c59eD84708dfDe004ff' => 13451,
  '0x6422E2C298a4Ea629Aec041E491C7f55fA39dA41' => 90655,
  '0xC5232A75366a9b40a616aA606636548db716f038' => 14621,
  '0x0bc99b862e5545d181Cc7bFA71720712527aCeEe' => 57206,
  '0x930DaB128EE82C5EAdaC116bd1A7f0618110AAdb' => 10000,
  '0xb6a960e019E2068084BdD23fbc26593bb1965CD0' => 4629,
  '0x6C8a70bae601E97F2c885f640D5c35B2A1E805e3' => 22500,
  '0x8c1fdAc26B39c47F6801C0889aFE516cfdD57b9A' => 9,
  '0xd45Ad60Eb8444529e52de6A8eC03d9769ee78149' => 0,
  '0xE000adB6f47C7461694Bcb69Bf51BAB8087D819d' => 20929,
  '0xE7228E5631bFd293288dc8EfD5fc2403E581DE2e' => 150000,
  '0xb3902CD8318c4648e18dfE6afCE125A331F1A787' => 17815,
  '0x3B8e502c1cf7027560F318FD21066d3Ca49F52f5' => 1002,
  '0xd1a0931de7a002D0D47117404BcBB3443faFb618' => 147043,
  '0x5D0CbF3ABc8701706B36179BcDB0409aA1e44640' => 13117,
  '0xe646e22E0Fc1b0F49Cd828ACcA2C9AD42F681115' => 150000,
  '0xdE9BDac8a4EE49907B30e95C35BF9Dd274c1415e' => 27,
  '0x580E63816EFC25F4eFFb6cC4386f766bA33DcA2C' => 87456,
  '0x6629DB6b40057e29d0593D895A350df94DC1e99A' => 18570,
  '0xc8C3e484dDF92069eb3226dF266C2C262902D835' => 22351,
  '0x363951773D40a61fa5587A1043EE80586db302D0' => 231,
  '0xAE60a8CBC37cfDE7aE14047C95BDCA81AA159ae0' => 28411,
  '0x3f80528837E792b23777977fA3AA7aD8A3eAb4e7' => 20149,
  '0xA8213ad427CC7C16cf6248e0653553bC3008A191' => 16831,
  '0xE520951eD61aCf55B65A3AD251044e14fA61F743' => 14,
  '0xa5E1532162ca1948a5D6a1832Fe6CEB8dF323C30' => 663,
  '0xdD8E898B37EAF390CF53790f2ea2CABeDac7afA2' => 35645,
  '0x2916D837B5F3D4E83df9c6DB717356Bd89C6e9A5' => 61689,
  '0x681099977c323282BB30BE500139B0D9a4F8d9cB' => 19300,
  '0x51106A29327e9320eAb3B3367B4aA833BCD52501' => 119,
  '0xacdD8A3eA69e962CD70c9b32CB4E7184F7863dA1' => 12000,
  '0x2EFd13e44e4e68d55b9730811FE04B949789cF69' => 286,
  '0x980aA416e2d67FC97c671162d8Ae261C105b2043' => 27114,
  '0xDA615562970f622B1E174B335c9e3B2a96264B14' => 13031,
  '0xaca3365a1A6DBA0839b3B56219Cf250eBB9F32f1' => 32640,
  '0xA0837778BC9A735924bcF4C98E64af6e8DE42cf4' => 9812,
  '0xAc10E326fb497f22BE3bceefBD050e74CBc2e394' => 2658,
  '0xB6D2e7EfEFce4c13ef98b1A69C0677725B08BabA' => 13032,
  '0x05c9f9Ea62c3C69dDF7221446d7Dbf4E04b0c408' => 50517,
  '0x253a1dc6BBad8A62a8e8F7B21214FEa2B78CB77E' => 89409,
  '0x161619839EBbADa5d3C279E1A79C50F7fc4274D6' => 19806,
  '0xdE6F17794861E1E13104285Cd2dabFC478BfB679' => 15048,
  '0xB06e5CE2Fe560FAc1f4C4e7537D60A82d82359E3' => 13032,
  '0xB6BF464940220C4202CD22674D3D1DA225C9923F' => 496,
  '0x85cf22d065b1F686faa6Afa96C2C5Eb7dc257239' => 13035,
  '0xf07ffbAf4a7999FfFAB3dDB47e7f74364B6Fd578' => 2273,
  '0x3C4828237769b75b4cA31c77518232FEFEffD0A8' => 251,
  '0x21368a0e3410A6253662d7B4562f4B0CDc0D276A' => 163,
  '0xa75a382957AB72FC7D8a9C142724Bae99FFab2c3' => 54,
  '0x91BA7d1cB45cB17Ddd5526253a0c791e3d413bC5' => 73628,
  '0xb5cBB2f3B5d3A72a88aF6c3739579A18D5235755' => 26656,
  '0xBE8C93a8C18AF63aAB449994AFAc13E71240ccC4' => 53028,
  '0xF4e87A350Ef2E2d7917a229748beFAaA11Ac33c0' => 8286,
  '0xafD1798233fbCD623EeA576A80d555Fe9c501b45' => 1616,
  '0xE729E82C62bA98Ee226DbF680803CFB4189DBE30' => 2576,
  '0xa44e05EdcDd376476f9aB94D8247188f7038C54b' => 8540,
  '0x7f83b0668cFD2FfCAde1812801106FBD05fA480a' => 157,
  '0xe99dc1864b1bea3EFd8b87d5CEc5b7b65ff23379' => 11470,
  '0x04Be52434EB64aDdF373137310551ac42013677c' => 13732,
  '0xb996F5f0Be1Dc903d39F0256DF7a47d59EdD5e2f' => 2166,
  '0x93Ef4743CaD66D1707cf1E98464A11D6970aA399' => 1307,
  '0x06f65D4A643940d104EB608BF47B64Ace9e4b60C' => 16429,
  '0x3CEFb79aF1F4126DC679D52f5f7458A25CE74B42' => 26496,
  '0x3BC78C5FB49F5A50aED564DABea2512B0fAd37E6' => 5500,
  '0x7Fb3b6d222CE75121D0edD4cE0248EC10b498b3D' => 4033,
  '0x3785F0272F5e19dD2c27977eC2D91195BB2AF801' => 21079,
  '0x343Ece916dA848F6Ab5eC7523c29A9c0e9400958' => 1259,
  '0x6C1fEca12c7F4Ee37346789ee5F2B51966e1dC14' => 20617,
  '0x04031ff90Daa5CE7fD90BE871933B46889653f99' => 4607,
  '0xF68500D8Ebc678077A9388Cf0Aa570536613f17C' => 23410,
  '0x6c00522bd7F6253CD002C02a6bee95c8C775dA45' => 1000,
  '0x55E86864ddE83bdd7Ef9F0d1F1765ebbec3A7934' => 13000,
  '0x65a7De07F2Df7564421b3a942cb0699b357B91cE' => 29319,
  '0xd944633d12e0ECf7e88D6b6248bC192d2e24226d' => 21640,
  '0x49525c292f006396aA78D3441Ee73ee992ef3183' => 6749,
  '0x9c04c3186F5471c4E58db47ECFdEeda92C1E8CB2' => 8880,
  '0x0e905F4AcAbf5914b71d2FdE1427a46dD2a037c5' => 2216,
  '0x5Fe9a92531Fe648666551a6cBaE2A7b817249c52' => 1120,
  '0xCe4D4bF74cf639d99C26803F6Dbc0A8054329C16' => 368985,
  '0x4abE0903Ee68883e693293037973f5926827Eb03' => 27839,
  '0x5055DefaCe85f86112E31A2b9694E1F0e9e23961' => 27577,
  '0x664fD1a25ECa57A02cc1d8249dee839b9FD7f755' => 789,
  '0x7342e456947e56250d2851FF467fA7743CCd9fbF' => 1070,
  '0xc4cbf8f4C59570450df297cedD3963b7E1F60652' => 17500,
  '0xf7c6382Da0A3ee08aD4c201b01E33e122600Ab6f' => 12800,
  '0x86DF6fB7D87Cad5683a4b148F1E5aFa6cb4633ED' => 43432,
  '0xD6a090e23033dd1F370fcfc2293C3C2c97B7FbCe' => 301,
  '0x0E544457812A698fF051B5fe1859Df6836214BB1' => 301,
  '0x219d4Eb4B62972862a6B38D130427aA92eaE1a69' => 21168,
  '0xa4f4d8b87AF48e72015b8d6446DF79033D41c427' => 19920,
  '0x79B42A6A7b708ec06eE807E4B77b3d449bF7AFB8' => 607,
  '0x7Ad648c1d96D208c09712DDE7791921D3E6DE434' => 2415,
  '0x711888263273D7e6D2179DDB5B3fea4B41921911' => 6351,
  '0x8a1CFc56923a2E02B9fEec98A3a4f9F6e3cEad6b' => 19000,
  '0x2C7ED5966fA687e84d6837Ee2EFb29D2430112f5' => 138403,
  '0x956290cae406BF01a4047035f1a8975Eed11D1E4' => 15500,
  '0x56aDe75750B3B0f7629e77869B178e2EDD360F29' => 5590,
  '0xb054675aDD7062E2a708bA7C211fb0eC1F56B8fA' => 20150,
  '0x6aE40A6fd30B9e627A1314D2Fadc4ed96D34dbD7' => 9816,
  '0xdDC570BAFD31c4a3545A3D742b9d022e78a9cB7F' => 1202,
  '0x8b9470b0c7453544de3D464936153368bBe5eF03' => 2307,
  '0xEcC3e7E76139274Cc12Cb1f0dE1645732DD67Bf7' => 11286,
  '0x9f24Aa4aDC816066D71f0d7362f89c6590Dd8e93' => 105000,
  '0x6af6D4c57b3d48D614ECc52f6C25242783Dec71A' => 16546,
  '0xCB06551543A48e812D72E00BF88C4eF80a29208e' => 125059,
  '0x9a1E402D39cb2D49cf23E6767C6458126eA24631' => 50000,
  '0xe222e11129A5FEfDEBcc0572a10A6dEAcc35E6C0' => 132,
  '0xdAf08467BE187fDAD0DB1df64b8cbD20F60AB370' => 10292,
  '0x70e7F221951441B5fbb5B633927790Be4528Ac08' => 1348,
  '0x0e7D12Cd0B9d51E79bfCDd72c35f3dFfAe5abd67' => 300,
  '0x416669A080eFaa174226b26Bd330A227d3449F1d' => 1003,
  '0x1083653d83b2e9B147573642540dD80163359129' => 6853,
  '0x67882422DC2eD49Ca1057727AFB8601568544aB5' => 1005,
  '0x27643f4e2B35A18BCD55252e88F13039F4F81927' => 45334,
  '0x0C1633e0BA164a9DEf56d86d7c46afCBe4d28a77' => 22222,
  '0x517E6E444fb0E565CF07597e8FC692B2C05E8Bda' => 15258,
  '0x1B21B2D0c32618226f9745340bCAe30AE4B507f3' => 16474,
  '0x4aC4Ab29F4A87150D89D3fdd5cbC46112606E5e8' => 2381,
  '0x87Ba6696F9a7bB845b9C45A28F44b1D5A365Fa37' => 1282,
  '0x726d07eA7b1983f35055bB288Af78E7480bD1242' => 20625,
  '0x4186C746D04cB987b795822d50ba6713851d1D2d' => 5754,
  '0x621bc3df852E42e04196bc150D5ae92Dc11D4d8E' => 2310,
  '0x72Bf07f4A11E9657f56250B560Be11A63cA16757' => 54703,
  '0x1D932E6489B5e4091eE078db497799237b354191' => 110510,
  '0x1279249174eC07a2Cb3f057bDc43414106183d4c' => 2510,
  '0xb7338951d8aaF32Ec72E72Aff962AA0Ee315CC6B' => 1154,
  '0x3b5569A21010a908eA9aCaCCfa9a21dB41292b43' => 16978,
  '0xCba9CCD786d6361d73f7105Afa7c5556A883966e' => 1100,
  '0x4a60A526c642ce63cf3Af8ff68b3f5F222611fBe' => 4452,
  '0x4a2Dd4b190B6Dee6939709278b659eD5Ffcb9d92' => 11420,
  '0x9062A96B9E947b2b57283e705c97B871f5eB6561' => 9551,
  '0x65C13724928ea0AfA68e09c7b70449bB8f6f3Fc8' => 500,
  '0xf1Fa3853CbaAbdB71374D4A3CA9A8cb6ef6D7Cd1' => 176,
  '0xa06ea9cc58D0d50C033A1b55F1399fb6909b65AF' => 167,
  '0xa2676434160DF812594D53A51a63A46981411C2A' => 835,
  '0xB2c83d839a4584BC89ba7E82bCe20Fa4031b1a88' => 55,
  '0x26D03EE5591b3999Ef2DF9E01E5FE7a81f3a9E8a' => 4469,
  '0xA4138f4f5ed55CFD883BF255BB7a99Df824f3159' => 2182,
  '0x8DF5d18F91333F5591E9331b460d5e501C43B4b3' => 1000,
  '0x765CE21d34164B4ef7B362c3835f60a711b5F554' => 40657,
  '0x571061B1BFF2bc8f0967f5eDbafEFFf36c932CDB' => 4107,
  '0x3aF9b992EA26c43f4f3B019A3c5c7FE4E059AF25' => 5113,
  '0xFF79Ad62D19066E43B99eEd19f94E11b0E0B5688' => 22000,
  '0x85d1B4acED9027D8E714874Ce4CD9017E3Bb1C32' => 2875,
  '0xb731eF1D26227e1EdF48F9833E6B48EB11154917' => 284149,
  '0x077C5d343e226E7e152246780be2BCa2AF91631e' => 6355,
  '0x7B15A0A2bCB856c3BD5DCfA8798Eb29D5852D74d' => 1698,
  '0x35e939c53B208CCec114c6b92f6d754b023dff4D' => 13671,
  '0x9325EAfe32Eba5AA10787143Ea5bC3438A7F6d2B' => 10011,
  '0xDe5701C91E479888878f9AEbf1DeCc0B10D88cB5' => 90140,
  '0x2b062DDA0681233672aEFbB41710865a0afcA630' => 16000,
  '0xF9f2Abcc9df889794b60f0791A784F5a97d32920' => 1803,
  '0xBCd9FDc648F1134ba00d0d8070b77F296C94Dc1e' => 8813,
  '0xFF78baD7F3FEfbf552a2978E1455D0126dA9BA76' => 74950,
  '0x43cF6d975661F0ee3b4536A79C4B5b99E4f385b9' => 28557,
  '0x446a3E8DEa79f232EBf35010B39578C30c8E7f94' => 194,
  '0x64bbBeC4730BfD30Fc7476a0b353f49B108B44f2' => 1934,
  '0x4B11F86a69ed65E8e2266d936c55dC66f43dA055' => 127670,
  '0x4557144F54Bc5D129a875a532C21Db18481900EE' => 118801,
  '0xbd0eC71B9aDA90ac6C1428cAfd45fe2fCA367665' => 72523,
  '0xCF43e9A2F9ED4810de89aE08d88445D8CcF63aB1' => 11139,
  '0x138732Bd8109847f5CB02541ECB17d24b1e9ff6E' => 30061,
  '0x26199b5dD7637D8dDd76fcfe31ec1EaDEe25e275' => 13000,
  '0x1ccceDE48295654B7e48333b47f54d24C4d612D9' => 20993,
  '0x6E2a2acC7253d38e0891F439a9815bEd3771E305' => 103668,
  '0xFFDBc1819236431F91367c360fB184e35BF87f9f' => 125,
  '0x55A67298aD97162136ba3F4dEbc5a84857cdb2Eb' => 1307,
  '0x451248229712D6F207ff9466d8D3A33CB59d103c' => 3633,
  '0xE76a6619581dD7122Bc127a6F018BA035B182AAA' => 8180,
  '0xC4A6312A5d5af3C03D546fA287fA1F883b3DB749' => 74082,
  '0x3D0BB03c7CbB0Caf3B10dD152bEA10afE2852181' => 544,
  '0xd24c941f5Edbe451395544658c0dF6dF056c6aD0' => 188000,
  '0x26E16d39C35db596F3bCc0C4a681A4B695E03AA0' => 104,
  '0x79d25167E16cA3f9925037CD7a1B3bA4F6e98AA1' => 105,
  '0xb46A2Fd67e275B1dbb1F6c1B55C26ECc3AFF1AA2' => 108,
  '0x93803d334edFF050EB333F0337Ac0E728932bAA3' => 107,
  '0x91690be5446EC084f22fB2bd542B3d58e98aBAA4' => 106,
  '0x6C9228B29795802374855Eb8be3A086AA11a5AA5' => 109,
  '0xb0D8f67600b6DaEE83d7BdfBFe0091098a545AA6' => 110,
  '0x26945aD8bf9671c175776371A071a7D9c2d42AA7' => 111,
  '0x435AEdDda07F2e0E40E75c940d2d8c88af30FAA8' => 112,
  '0x86364F69723ED131b89d2e28c6457E02Ad0D8AA9' => 113,
  '0x77D63A93C90a9860AB07eE6BC7bc5BecAD1CBfDe' => 21000,
  '0x45E89079Fa328095804e37f9CccEc43780326c3B' => 158159,
  '0xD5C196b5b67e624738D85AB5A98534e68FD2C88E' => 135706,
  '0x53baD4E06b7b0244927BB03d43F3171C4b0349BE' => 20026,
  '0x62c3852419a71d70Ff05fDEF83CDdABde533b3e4' => 17757,
  '0x6D6ed67479D02d63A4A0F111A6D76fF93Bb2D23D' => 6927,
  '0x9CCB89c59E0040Fe96814D02832Ed6533cBADA55' => 1844,
  '0xCAAf10244E0F891a2C4f066F3d137914b47F1DCe' => 7505,
  '0xf331f8Cbcd9100292258D2a1986A4a2e7435e453' => 19595,
  '0x639FaD44e324329a726cc1845A4B7f3AB2ac1DAb' => 20328,
  '0xaaD610d7afD65890784549761A45B76150E8Fad5' => 5830,
  '0xaec80B4fbE227198720b1d1B82a12968bAA0B144' => 16600,
  '0x83F097475C0d5feaAeA43cD42781D4313611A0d9' => 1361570,
  '0x03F182ec7474877EC8d830a5Fcb804FD132755c1' => 60000,
  '0x687670E9C58526D673aa22d6aB355d952819aFDF' => 676,
  '0xc6D15113E2FC44064e2CE8dF7A5c38e01ad6bcd5' => 1008,
  '0x20D236B1800f2B597Cd64D920b71D36b87991f30' => 18666,
  '0xE2551950F53e519D8f2CFf42a3b418082827CC3d' => 6355,
  '0x9f5Aa14327fB4b61F6F7f1B205501fD1A66bc183' => 2000,
  '0xA24db1Dc8CE36C960BC4517d4B1eB3f3e7c10FFF' => 1080,
  '0x2B8655383305d07DFd0dA40459a9DaD61e9918aF' => 2876,
  '0xf89be918c3d9989DD1e454bd21E1fc3aFb7E6EEB' => 43300,
  '0x26260b28Ce15a5Aae6C61283693F6C677Db05953' => 27850,
  '0x708D15d6B33B588a38FC9a822EA52B4A4c0f2894' => 258,
  '0x8C59eB7f0fF13fE71E916b5A1039bCa73B0C0021' => 2645,
  '0x0705b3f95211B829aFEC43e3Dd3bb8BD4aCEca20' => 27717,
  '0x4b554240D58a9D75326F8031B7087903034E66FC' => 62759,
  '0x2322d8B17a25248179282F6a1A18e208cd0ECcf1' => 185,
  '0xA3176cdB52Dd85290E72B2c486Cf6149ab38Fd32' => 11394,
  '0x219C59a99fb5134Db62382f3CB3A88C0c15B6ef2' => 2468,
  '0xC749a02A123CA69d2E872b3B33b1c75e9aDD513F' => 209,
  '0x59512422AF0709c7CaB8285838975Cd8D7C7CE7d' => 2647,
  '0x97281D9da948509A271D84d11FBCF0377b130515' => 322,
  '0x2c417fefaa43153b1E160AddA6f6f0C4399841cb' => 209,
  '0x2350874A7FCc31dfFfA8B5ceA6E85f4b90D4E28C' => 209,
  '0xc1eF94C5a6De970Ce6Fb1f4C28af352bA046A63B' => 3792,
  '0xCa4Fe3B7150F5E0Dc77CF920f4d577E31e854552' => 322,
  '0x400152bC8Eb5abF2b4685B9B05B98C202C8539d2' => 100,
  '0xF3062faAA61CD4Ee6E8705135A3Bc6419CD766B2' => 5300,
  '0x993192a774609176f59325E9C0aFd0641917D0DB' => 28451,
  '0xC307c55d8038265FB9337Cfc4bF36B874289482b' => 335,
  '0x508f1b6C5eb1e0F9d48795C848d87288BaE13a46' => 149500,
  '0x83AE2B590E4c1702eb734437188CCb9800Ff9cbe' => 419,
  '0xcB898504e45710Eb33948f961030192aFDAd1811' => 85749,
  '0x32eD0c6b445a0e5c413Dc583106583E19Ee39dBB' => 43708,
  '0xfC97910E9200189265D759d80f25c4f0C691330d' => 386,
  '0xF7dC9A8f66701dcf91808f00d356249b351eF4CF' => 54874,
  '0xfEA310e868466201E881866e75232e1Bc2B86E0c' => 23411,
  '0x94f7c3b5dB467E32079D8aFF166D1A5C19c97a6a' => 219,
  '0x559F046932523496A9e8A22372121936706F5633' => 1000,
  '0x9a69598EE328149Fb6e36c28639f5e00eFF363c9' => 1000,
  '0xe01Ac109D51C4D30aACabB2CbbF7dD0dDEfE07A0' => 6533,
  '0x7dC005B44859EF5e1C66F99138Acc57796bd5B42' => 1000,
