Map(485) {
  '0x0fa11D9d60C102eDF601ee5FA11b84e640541982' => 2836,
  '0xa1bc9F613297FE6201da0ffe5bF7f086A51CC365' => 120000,
  '0x8E118bbFfDCC009b1D46423868F7a49F8bcbBFcC' => 13299,
  '0x9f1842a615a14BCe5723f4C5019D6f67c889B632' => 4072,
  '0xd973b5Ad311d8d84D90166b17335cACac1263bAB' => 8653,
  '0x960cC811e5eF36760f5c679AF90e821B10385e04' => 72500,
  '0x50b13b54C917171a03CEb8216f3990535fC18097' => 26000,
  '0xB817F347Cc5dC77DabEb45Dc071Dc4cA80b28E16' => 12662,
  '0x0De156cB2202C682B41D3fbE8b785238ecF3F647' => 150000,
  '0x0d36dD40FF721aC6E3f40FC3e36A5566609A03F1' => 8881,
  '0x19Ba3eedA313577888C145a5d7053Df05471b460' => 36430,
  '0x3f4d0a6654c8365B42DcAa8AA92d9034e2A6141f' => 149900,
  '0x5dFc833B3E853f3e0d8d7B5BB2d2a66dD2B9d061' => 2833,
  '0x9e825De7d9f9876B35A2785f50355CCC59F22541' => 4710,
  '0x4D8BD62C7Cb6769795410C5d1209cc09bfE16C60' => 21560,
  '0xae5A48E555f5DC7300896B7a12Ac64813BCcad8c' => 11792,
  '0x41DF0d7108aA67Aa76D8072a91Edc2FDdBc9783a' => 3564,
  '0xD8b00122B6CC0d44Fb3198fB675635272d516B7F' => 109150,
  '0xE4c140a67A3A95913a6E2FcFc6d6434d94C07641' => 12000,
  '0x29a65d830516cca6E694be90d3dE3CC19f620eA6' => 17017,
  '0x56d53a4402A7b8F4aD027cfb421fF60e865F665b' => 80265,
  '0x849D046dfb65E7Bd680F5022613c1C8Ae9a52367' => 300,
  '0x2E31bD290416f095Db77C56cb2a2CE7ea4511872' => 19710,
  '0xeEB07faFcb5761394BE481f03F1048aab0deaDC4' => 33596,
  '0xb90440Ee1FAc3172A630470F4aDcB99d0fEE936D' => 26862,
  '0xF7e74A9a394226058E14BFc17deafDB76eeBbb25' => 19500,
  '0x5bFfCD8F4809E29bCAcE4C9c21e0C3b6963eCec1' => 150000,
  '0xBFf1a2F422274cB7dA1Ada4704F2eB0B55297B84' => 20364,
  '0x36db7DF1D5A563D6E707ffc976B46Dd4872A8BF0' => 3183,
  '0x6BF7550BF182b8428e2cf4fC640ED884FF8C7a57' => 25531,
  '0x9b18e9e9aa3dD35100b385b7035C0B1E44AfcA14' => 21000,
  '0x83F62a5B0fDd00aC4a73BE13B61Bde29551e7175' => 210,
  '0x09E3c4bf50a15225d4087FE089282CB5506DCce6' => 55675,
  '0x263A13fbe5416661d8ff67C5D98624D1553900ae' => 29984,
  '0xB3BD192d80fA4f40a1d851E81C9cf196a3A7d632' => 77251,
  '0x0057BD83a142Da84B6404616C683e21e7Dd6fA5f' => 26194,
  '0x93AeCdbf7ef234D7A240974293a969e323C376C2' => 2923,
  '0xa5ecE293c10fa3709303Dd39FF816D51c5D44234' => 182,
  '0x05c254989526b621ceD514f5daD9123fE4B803Fd' => 145830,
  '0x616C9F0Aaa13D3587B9Fe6F513DF62522F7D900C' => 120000,
  '0xf13E437Fb07141cF53a9486e562B3553E96711Df' => 117,
  '0x18376a0E6f2975013D2866407ea4f4e2fF01B510' => 57538,
  '0xe4126Fd057ab2fC08B6cE2621De4C3bc56464101' => 149498,
  '0x0c183b19cf8a07bB4319729150b0b3B4841C0866' => 3677,
  '0xC1196C46559203fe1e3ffE05009fdE59795A6385' => 42748,
  '0x13B0D26d0703Cd7A13a52E4bfb90a48887e559A6' => 10234,
  '0x12D7145dcE155f2b586CE1B2DfFd267c69b86385' => 747,
  '0x8D339490827b323295DA0A003096e18b0Dd99A2F' => 94530,
  '0x6339A73610969b50f0B91122bB90E231046b112f' => 364,
  '0x6BcFB1F96A3d270F00dEAb39Fd50e78096576113' => 16794,
  '0x5CfC0Af2db55938B879c5Be94D0cd860Ec2DB029' => 22420,
  '0x852926150De3854D61319021BD88F239C1Cc4C38' => 21234,
  '0xb4e8865edE93E5b36CA856788C7C9D7Ad4Fe409D' => 679,
  '0xE0e03ba22E14776DC972a50E6CcA5cEEdb3b972C' => 149600,
