,eoa,grade
63,>0x668B6724F80591FC5482Aa628017Ee6338898E52<,Diamond
64,>0xBE8C93a8C18AF63aAB449994AFAc13E71240ccC4<,Diamond
65,>0x664fD1a25ECa57A02cc1d8249dee839b9FD7f755<,Diamond
66,>0x219d4Eb4B62972862a6B38D130427aA92eaE1a69<,Diamond
67,>0x50b13b54C917171a03CEb8216f3990535fC18097<,Diamond
68,>0xdDC570BAFD31c4a3545A3D742b9d022e78a9cB7F<,Diamond
69,>0x1F2b6dCff8b9c35EA8b4dAED42A7772eC1014276<,Diamond
70,>0x04031ff90Daa5CE7fD90BE871933B46889653f99<,Diamond
71,>0x639FaD44e324329a726cc1845A4B7f3AB2ac1DAb<,Diamond
72,>0x1c0eC596303Ce6666f5a4D24c29e78Cf881cb5d3<,Diamond
73,>0xddF8eB9ABE01C6bAF5f1308A3173A69F95FA6cE2<,Diamond
74,>0x3749Ac4c96c9D92DFF122f7822e2Db9dD4cc7D15<,Diamond
75,>0x8a1CFc56923a2E02B9fEec98A3a4f9F6e3cEad6b<,Diamond
76,>0xF84B9E57628Da8A8167c0f84C266F70Ec0863510<,Diamond
77,>0x06a6Aa05760613Ae19c73E66c545aB9d9Bb3f447<,Diamond
78,>0xD0B744A3CEE6C07814a889ecd4ebb3dA1D4252D1<,Diamond
79,>0x86DF6fB7D87Cad5683a4b148F1E5aFa6cb4633ED<,Diamond
80,>0x8F771a8E8BA888F2b06cC75747eE59FA9F7613E9<,Diamond
81,>0xd48d664965286ddea41e97784d079de981d099B6<,Diamond
82,>0x960cC811e5eF36760f5c679AF90e821B10385e04<,Diamond
83,>0x5dFc833B3E853f3e0d8d7B5BB2d2a66dD2B9d061<,Diamond
84,>0x0C1633e0BA164a9DEf56d86d7c46afCBe4d28a77<,Diamond
85,>0x4186C746D04cB987b795822d50ba6713851d1D2d<,Diamond
86,>0x3f80528837E792b23777977fA3AA7aD8A3eAb4e7<,Diamond
87,>0x05c254989526b621ceD514f5daD9123fE4B803Fd<,Diamond
88,>0x4a2Dd4b190B6Dee6939709278b659eD5Ffcb9d92<,Diamond
89,>0x04Be52434EB64aDdF373137310551ac42013677c<,Diamond
90,>0x681099977c323282BB30BE500139B0D9a4F8d9cB<,Diamond
91,>0x788A8A180F27f86B2148fbD7836ee6F0794D9296<,Diamond
92,>0x41DF0d7108aA67Aa76D8072a91Edc2FDdBc9783a<,Diamond
93,>0x23B97Fb0301883863bBBd8238D11fd51e95e7315<,Diamond
94,>0xf07ffbAf4a7999FfFAB3dDB47e7f74364B6Fd578<,Diamond
95,>0x0e905F4AcAbf5914b71d2FdE1427a46dD2a037c5<,Gold
96,>0x896aEa93ae29147E810059C75390EF4BbbEEbe29<,Gold
97,>0xa2676434160DF812594D53A51a63A46981411C2A<,Gold
98,>0x7B15A0A2bCB856c3BD5DCfA8798Eb29D5852D74d<,Gold
99,>0x2C7ED5966fA687e84d6837Ee2EFb29D2430112f5<,Gold
100,>0x20D236B1800f2B597Cd64D920b71D36b87991f30<,Gold
101,>0x2F595C056e785E13579128DF27cAD2968d034BA4<,Gold
102,>0xc2fF8b2Fb8082c811B310cA1c2D5cB235F3059bB<,Gold
103,>0xC5232A75366a9b40a616aA606636548db716f038<,Gold
104,>0xc2552747697ad2eea67Dd75E10F7933A62cEb64C<,Gold
105,>0xd1a0931de7a002D0D47117404BcBB3443faFb618<,Gold
106,>0x5055DefaCe85f86112E31A2b9694E1F0e9e23961<,Gold
107,>0x28beb6Fd342F7F41c0eBe086F78e43468c7A25C1<,Gold
108,>0xc9f52c0d4b3b4A35ba507d3AB99A1df0479018f7<,Gold
109,>0xA24db1Dc8CE36C960BC4517d4B1eB3f3e7c10FFF<,Gold
110,>0xC4A6312A5d5af3C03D546fA287fA1F883b3DB749<,Gold
111,>0xD23Cca1d288eADED8667a7d4765D0033641F4C60<,Gold
112,>0x7d3a7Ad44bFcFc0962709ECE4c149128717906B8<,Gold
113,>0xe01Ac109D51C4D30aACabB2CbbF7dD0dDEfE07A0<,Gold
114,>0x6C8a70bae601E97F2c885f640D5c35B2A1E805e3<,Gold
115,>0x2b3CE0006E3d8F7aBadF8b0c3f68aB9cC3BfA49E<,Gold
116,>0xA4138f4f5ed55CFD883BF255BB7a99Df824f3159<,Gold
117,>0xaaD610d7afD65890784549761A45B76150E8Fad5<,Gold
118,>0x4eB68eCF77639E64C9ED0826978940Fec1BE9F3f<,Gold
119,>0x62c3852419a71d70Ff05fDEF83CDdABde533b3e4<,Gold
120,>0xADb84F68596f9E9ec7b79E15C61c02b7260B118e<,Gold
121,>0xCAAf10244E0F891a2C4f066F3d137914b47F1DCe<,Gold
122,>0x5E927d6d547254dcFaB48C18B2314757ab931150<,Gold
123,>0x621bc3df852E42e04196bc150D5ae92Dc11D4d8E<,Gold
124,>0x8b9470b0c7453544de3D464936153368bBe5eF03<,Gold
125,>0x263A13fbe5416661d8ff67C5D98624D1553900ae<,Gold
126,>0x451248229712D6F207ff9466d8D3A33CB59d103c<,Gold
127,>0xA44dd0CF1de1C461fDE0B7B92C374789B59784C9<,Gold
128,>0x09E3c4bf50a15225d4087FE089282CB5506DCce6<,Gold
129,>0xAc10E326fb497f22BE3bceefBD050e74CBc2e394<,Gold
130,>0xb7338951d8aaF32Ec72E72Aff962AA0Ee315CC6B<,Gold
131,>0x827c09e905C42a1cf30164d3fAb36fbE777e6fC4<,Gold
132,>0xf17a0F334D43e343347335b0Fd673795617E9f1D<,Gold
